campaign_id,client_id,number_contracts,duration,pdays,previous_campaign_contracts,previous_outcome,campaign_outcome,last_contact_date
1,1,1,261,999,0,,False,2024-05-13
2,2,1,149,999,0,,False,2024-05-19
3,3,1,226,999,0,,False,2024-05-23
4,4,1,151,999,0,,False,2024-05-27
5,5,1,307,999,0,,False,2024-05-03
6,6,1,198,999,0,,False,2024-05-05
7,7,1,139,999,0,,False,2024-05-03
8,8,1,217,999,0,,False,2024-05-12
9,9,1,380,999,0,,False,2024-05-21
10,10,1,50,999,0,,False,2024-05-05
11,11,1,55,999,0,,False,2024-05-08
12,12,1,222,999,0,,False,2024-05-09
13,13,1,137,999,0,,False,2024-05-29
14,14,1,293,999,0,,False,2024-05-14
15,15,1,146,999,0,,False,2024-05-29
16,16,1,174,999,0,,False,2024-05-29
17,17,1,312,999,0,,False,2024-05-01
18,18,1,440,999,0,,False,2024-05-09
19,19,1,353,999,0,,False,2024-05-06
20,20,1,195,999,0,,False,2024-05-02
21,21,1,38,999,0,,False,2024-05-02
22,22,1,262,999,0,,False,2024-05-16
23,23,1,342,999,0,,False,2024-05-20
24,24,1,181,999,0,,False,2024-05-10
25,25,1,172,999,0,,False,2024-05-02
26,26,1,99,999,0,,False,2024-05-28
27,27,1,93,999,0,,False,2024-05-30
28,28,1,233,999,0,,False,2024-05-16
29,29,2,255,999,0,,False,2024-05-01
30,30,1,362,999,0,,False,2024-05-22
31,31,1,348,999,0,,False,2024-05-22
32,32,1,386,999,0,,False,2024-05-27
33,33,1,73,999,0,,False,2024-05-25
34,34,1,230,999,0,,False,2024-05-14
35,35,1,208,999,0,,False,2024-05-25
36,36,1,336,999,0,,False,2024-05-22
37,37,1,365,999,0,,False,2024-05-11
38,38,1,1666,999,0,,False,2024-05-03
39,39,1,577,999,0,,False,2024-05-02
40,40,1,137,999,0,,False,2024-05-20
41,41,1,366,999,0,,False,2024-05-05
42,42,1,314,999,0,,False,2024-05-25
43,43,1,160,999,0,,False,2024-05-22
44,44,1,212,999,0,,False,2024-05-01
45,45,1,188,999,0,,False,2024-05-17
46,46,1,22,999,0,,False,2024-05-28
47,47,1,616,999,0,,False,2024-05-15
48,48,1,178,999,0,,False,2024-05-03
49,49,1,355,999,0,,False,2024-05-26
50,50,2,225,999,0,,False,2024-05-26
51,51,1,160,999,0,,False,2024-05-03
52,52,1,266,999,0,,False,2024-05-09
53,53,1,253,999,0,,False,2024-05-11
54,54,1,179,999,0,,False,2024-05-13
55,55,2,269,999,0,,False,2024-05-12
56,56,1,135,999,0,,False,2024-05-08
57,57,1,161,999,0,,False,2024-05-17
58,58,1,787,999,0,,False,2024-05-08
59,59,1,145,999,0,,False,2024-05-08
60,60,1,174,999,0,,False,2024-05-18
61,61,1,449,999,0,,False,2024-05-03
62,62,1,812,999,0,,False,2024-05-23
63,63,1,164,999,0,,False,2024-05-27
64,64,1,366,999,0,,False,2024-05-29
65,65,1,357,999,0,,False,2024-05-19
66,66,1,232,999,0,,False,2024-05-15
67,67,1,91,999,0,,False,2024-05-16
68,68,1,273,999,0,,False,2024-05-21
69,69,2,158,999,0,,False,2024-05-29
70,70,1,177,999,0,,False,2024-05-04
71,71,1,200,999,0,,False,2024-05-28
72,72,1,172,999,0,,False,2024-05-26
73,73,1,176,999,0,,False,2024-05-18
74,74,1,211,999,0,,False,2024-05-14
75,75,1,214,999,0,,False,2024-05-26
76,76,1,1575,999,0,,True,2024-05-20
77,77,1,349,999,0,,False,2024-05-16
78,78,2,337,999,0,,False,2024-05-28
79,79,1,272,999,0,,False,2024-05-30
80,80,1,208,999,0,,False,2024-05-21
81,81,1,193,999,0,,False,2024-05-29
82,82,1,212,999,0,,False,2024-05-29
83,83,2,165,999,0,,False,2024-05-27
84,84,1,1042,999,0,,True,2024-05-06
85,85,1,20,999,0,,False,2024-05-23
86,86,1,246,999,0,,False,2024-05-12
87,87,2,529,999,0,,False,2024-05-23
88,88,1,192,999,0,,False,2024-05-21
89,89,1,1467,999,0,,True,2024-05-19
90,90,2,188,999,0,,False,2024-05-17
91,91,2,180,999,0,,False,2024-05-29
92,92,1,48,999,0,,False,2024-05-05
93,93,2,213,999,0,,False,2024-05-02
94,94,1,545,999,0,,False,2024-05-27
95,95,1,583,999,0,,False,2024-05-28
96,96,1,221,999,0,,False,2024-05-25
97,97,1,426,999,0,,False,2024-05-17
98,98,1,287,999,0,,False,2024-05-27
99,99,1,197,999,0,,False,2024-05-30
100,100,1,257,999,0,,False,2024-05-03
101,101,1,229,999,0,,False,2024-05-25
102,102,3,55,999,0,,False,2024-05-30
103,103,1,400,999,0,,False,2024-05-27
104,104,1,197,999,0,,False,2024-05-19
105,105,1,190,999,0,,False,2024-05-24
106,106,1,21,999,0,,False,2024-05-08
107,107,2,300,999,0,,False,2024-05-22
108,108,2,123,999,0,,False,2024-05-09
109,109,1,293,999,0,,False,2024-05-15
110,110,1,325,999,0,,False,2024-05-09
111,111,1,514,999,0,,False,2024-05-04
112,112,2,849,999,0,,False,2024-05-01
113,113,1,194,999,0,,False,2024-05-25
114,114,2,212,999,0,,False,2024-05-04
115,115,2,337,999,0,,False,2024-05-06
116,116,1,286,999,0,,False,2024-05-20
117,117,2,247,999,0,,False,2024-05-31
118,118,1,518,999,0,,False,2024-05-24
119,119,1,364,999,0,,False,2024-05-06
120,120,1,178,999,0,,False,2024-05-26
121,121,1,98,999,0,,False,2024-05-21
122,122,1,439,999,0,,False,2024-05-01
123,123,1,139,999,0,,False,2024-05-18
124,124,1,79,999,0,,False,2024-05-09
125,125,1,175,999,0,,False,2024-05-26
126,126,2,262,999,0,,False,2024-05-21
127,127,1,61,999,0,,False,2024-05-31
128,128,1,78,999,0,,False,2024-05-24
129,129,2,102,999,0,,False,2024-05-23
130,130,1,579,999,0,,True,2024-05-12
131,131,1,143,999,0,,False,2024-05-29
132,132,1,677,999,0,,False,2024-05-20
133,133,1,267,999,0,,False,2024-05-22
134,134,1,345,999,0,,False,2024-05-12
135,135,1,185,999,0,,False,2024-05-19
136,136,1,207,999,0,,False,2024-05-05
137,137,2,69,999,0,,False,2024-05-26
138,138,2,100,999,0,,False,2024-05-19
139,139,2,125,999,0,,False,2024-05-28
140,140,1,461,999,0,,True,2024-05-27
141,141,1,240,999,0,,False,2024-05-16
142,142,1,70,999,0,,False,2024-05-22
143,143,1,193,999,0,,False,2024-05-24
144,144,1,136,999,0,,False,2024-05-17
145,145,1,73,999,0,,False,2024-05-24
146,146,1,528,999,0,,False,2024-05-06
147,147,1,541,999,0,,False,2024-05-11
148,148,1,338,999,0,,False,2024-05-16
149,149,1,163,999,0,,False,2024-05-28
150,150,1,87,999,0,,False,2024-05-25
151,151,1,301,999,0,,False,2024-05-03
152,152,1,46,999,0,,False,2024-05-22
153,153,1,52,999,0,,False,2024-05-08
154,154,1,204,999,0,,False,2024-05-03
155,155,1,155,999,0,,False,2024-05-12
156,156,1,98,999,0,,False,2024-05-15
157,157,1,71,999,0,,False,2024-05-25
158,158,1,243,999,0,,False,2024-05-29
159,159,2,186,999,0,,False,2024-05-07
160,160,2,579,999,0,,False,2024-05-27
161,161,2,165,999,0,,False,2024-05-03
162,162,2,163,999,0,,False,2024-05-09
163,163,1,46,999,0,,False,2024-05-29
164,164,3,559,999,0,,False,2024-05-15
165,165,1,2033,999,0,,False,2024-05-18
166,166,1,85,999,0,,False,2024-05-22
167,167,1,506,999,0,,False,2024-05-04
168,168,2,114,999,0,,False,2024-05-12
169,169,2,114,999,0,,False,2024-05-19
170,170,2,843,999,0,,False,2024-05-25
171,171,1,181,999,0,,False,2024-05-12
172,172,1,427,999,0,,False,2024-05-05
173,173,1,292,999,0,,False,2024-05-24
174,174,1,192,999,0,,False,2024-05-07
175,175,3,93,999,0,,False,2024-05-02
176,176,2,128,999,0,,False,2024-05-09
