id,age,job,marital,education,credit_default,housing,loan
1,56,housemaid,married,basic.4y,False,False,False
2,57,services,married,high.school,,False,False
3,37,services,married,high.school,False,True,False
4,40,admin.,married,basic.6y,False,False,False
5,56,services,married,high.school,False,False,True
6,45,services,married,basic.9y,,False,False
7,59,admin.,married,professional.course,False,False,False
8,41,blue-collar,married,unknown,,False,False
9,24,technician,single,professional.course,False,True,False
10,25,services,single,high.school,False,True,False
11,41,blue-collar,married,unknown,,False,False
12,25,services,single,high.school,False,True,False
13,29,blue-collar,single,high.school,False,False,True
14,57,housemaid,divorced,basic.4y,False,True,False
15,35,blue-collar,married,basic.6y,False,True,False
16,54,retired,married,basic.9y,,True,True
17,35,blue-collar,married,basic.6y,False,True,False
18,46,blue-collar,married,basic.6y,,True,True
19,50,blue-collar,married,basic.9y,False,True,True
20,39,management,single,basic.9y,,False,False
21,30,unemployed,married,high.school,False,False,False
22,55,blue-collar,married,basic.4y,,True,False
23,55,retired,single,high.school,False,True,False
24,41,technician,single,high.school,False,True,False
25,37,admin.,married,high.school,False,True,False
26,35,technician,married,university.degree,False,False,True
27,59,technician,married,unknown,False,True,False
28,39,self-employed,married,basic.9y,,False,False
29,54,technician,single,university.degree,,False,False
30,55,unknown,married,university.degree,,,
31,46,admin.,married,unknown,False,False,False
32,59,technician,married,unknown,False,True,False
33,49,blue-collar,married,unknown,False,False,False
34,54,management,married,basic.4y,,True,False
35,54,blue-collar,divorced,basic.4y,False,False,False
36,55,unknown,married,basic.4y,,True,False
37,34,services,married,high.school,False,False,False
38,52,technician,married,basic.9y,False,True,False
39,41,admin.,married,university.degree,False,True,False
40,56,technician,married,basic.4y,False,True,False
41,58,management,unknown,university.degree,False,True,False
42,32,entrepreneur,married,high.school,False,True,False
43,38,admin.,single,professional.course,False,False,False
44,57,admin.,married,university.degree,False,False,True
45,44,admin.,married,university.degree,,True,False
46,42,technician,single,professional.course,,False,False
47,57,admin.,married,university.degree,False,True,True
48,40,blue-collar,married,basic.9y,False,False,True
49,35,admin.,married,university.degree,False,True,False
50,45,blue-collar,married,basic.9y,False,True,False
51,54,admin.,married,high.school,False,False,False
52,39,housemaid,married,basic.4y,False,False,True
53,60,admin.,married,high.school,False,False,False
